No.,Species,Local Name,Location,Count (Approx.),Breeding Time,Habitat
1,Barracuda,Local Name 1,Kerala Backwaters,Common,Summer (May-Jul),"Coastal, Mangroves"
2,Yellow Sea Bream,Local Name 2,Gulf of Mannar,Stable,Monsoon (July-Sept),"Brackish, Brackish"
3,Tuna,Local Name 3,Kochi,Rare,Year-round,"Shallow Reefs, Open Sea"
4,Snappers,Local Name 4,Goa,Stable,Spring (Mar-Apr),"Sandy Bottoms, Open Sea"
5,Snappers,Local Name 5,Kochi,Rare,Monsoon (July-Sept),"Sandy Bottoms, Estuaries"
6,Barracuda,Local Name 6,Odisha Coast,Common,Summer (May-Jul),"Coastal, Mangroves"
7,Wrasse,Local Name 7,Odisha Coast,Stable,Monsoon (July-Sept),"Brackish, Brackish"
8,Bluespotted Ribbontail Ray,Local Name 8,Goa,Critically Endangered,Spring (Mar-Apr),"Open Sea, Mangroves"
9,Giant Grouper,Local Name 9,Andaman Islands,Critically Endangered,Monsoon (July-Sept),"Open Sea, Brackish"
10,Barramundi,Local Name 10,Gulf of Mannar,Common,Year-round,"Open Sea, Estuaries"
11,Ribbon Fish,Local Name 11,Goa,Moderate,Spring (Mar-Apr),"Brackish, Coastal"
12,Sturgeon,Local Name 12,Odisha Coast,Endangered,Summer (May-Jul),"Brackish, Shallow Reefs"
13,Sturgeon,Local Name 13,West Bengal Coast,Declining,Spring (Mar-Apr),"Estuaries, Open Sea"
14,Tuna,Local Name 14,Andaman Islands,Rare,Winter (Dec-Feb),"Freshwater rivers, Brackish"
15,Hilsa,Local Name 15,"Sundarbans, West Bengal",Stable,Year-round,"Coral Reefs, Sandy Bottoms"
16,Gobies,Local Name 16,West Bengal Coast,Common,Year-round,"Sandy Bottoms, Coastal"
17,Carp,Local Name 17,Odisha Coast,Moderate,Summer (May-Jul),"Sandy Bottoms, Open Sea"
18,Bonito,Local Name 18,Kochi,Rare,Monsoon (July-Sept),"Freshwater rivers, Shallow Reefs"
19,Mahi-Mahi,Local Name 19,Odisha Coast,Stable,Summer (May-Jul),"Coastal, Coral Reefs"
20,Anthias,Local Name 20,Odisha Coast,Critically Endangered,Winter (Dec-Feb),"Freshwater rivers, Freshwater rivers"
21,Cod,Local Name 21,Bay of Bengal,Moderate,Monsoon (July-Sept),"Brackish, Coral Reefs"
22,Bombay Duck,Local Name 22,"Sundarbans, West Bengal",Common,Monsoon (July-Sept),"Sandy Bottoms, Freshwater rivers"
23,Catfish,Local Name 23,Kerala Backwaters,Critically Endangered,Spring (Mar-Apr),"Coral Reefs, Sandy Bottoms"
24,Carp,Local Name 24,Goa,Common,Spring (Mar-Apr),"Brackish, Coastal"
25,Eel,Local Name 25,Mumbai Coast,Common,Monsoon (July-Sept),"Coral Reefs, Mangroves"
26,Tilapia,Local Name 26,Goa,Stable,Monsoon (July-Sept),"Sandy Bottoms, Shallow Reefs"
27,Bombay Duck,Local Name 27,Mumbai Coast,Moderate,Winter (Dec-Feb),"Rocky Reefs, Mangroves"
28,Shovelnose Ray,Local Name 28,Lakshadweep Sea,Moderate,Spring (Mar-Apr),"Coastal, Open Sea"
29,Blue Marlin,Local Name 29,Mumbai Coast,Rare,Summer (May-Jul),"Mangroves, Coral Reefs"
